_H:	$Name	"%Input[2:0,0]<2:18,1>"	"%Input[2:1,0]"	"%Input[2:2,0]"	"%Input[2:3,0]"	"%Input[2:4,0]"	"%Input[2:5,0]"	"%Input[2:6,0]"	"%Input[2:7,0]"	"%Input[2:8,0]"	"%Input[2:9,0]"	"%Input[2:10,0]"	"%Input[2:11,0]"	"%Input[2:12,0]"	"%Input[2:13,0]"	"%Input[2:14,0]"	"%Input[2:15,0]"	"%Input[2:16,0]"	"%Input[2:17,0]"	"%ECout[2:0,0]<2:18,1>"	"%ECout[2:1,0]"	"%ECout[2:2,0]"	"%ECout[2:3,0]"	"%ECout[2:4,0]"	"%ECout[2:5,0]"	"%ECout[2:6,0]"	"%ECout[2:7,0]"	"%ECout[2:8,0]"	"%ECout[2:9,0]"	"%ECout[2:10,0]"	"%ECout[2:11,0]"	"%ECout[2:12,0]"	"%ECout[2:13,0]"	"%ECout[2:14,0]"	"%ECout[2:15,0]"	"%ECout[2:16,0]"	"%ECout[2:17,0]"
_D:	I0A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	I0B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	I0C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	I1A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	I1B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	I1C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	I2A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	I2B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	I2C	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	B0A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
